name,version,md5,url
acl,2.3.2,590765dee95907dbc3c856f7255bd669,https://download.savannah.gnu.org/releases/acl/acl-@.tar.xz
attr,2.5.2,227043ec2f6ca03c0948df5517f9c927,https://download.savannah.gnu.org/releases/attr/attr-@.tar.gz
autoconf,2.72,1be79f7106ab6767f18391c5e22be701,https://ftp.gnu.org/gnu/autoconf/autoconf-@.tar.xz
automake,1.18.1,cea31dbf1120f890cbf2a3032cfb9a68,https://ftp.gnu.org/gnu/automake/automake-@.tar.xz
bash,5.3,977c8c0c5ae6309191e7768e28ebc951,https://ftp.gnu.org/gnu/bash/bash-@.tar.gz
bc,7.0.3,ad4db5a0eb4fdbb3f6813be4b6b3da74,https://github.com/gavinhoward/bc/releases/download/@/bc-@.tar.xz
binutils,2.45,dee5b4267e0305a99a3c9d6131f45759,https://sourceware.org/pub/binutils/releases/binutils-@.tar.xz
bison,3.8.2,c28f119f405a2304ff0a7ccdcc629713,https://ftp.gnu.org/gnu/bison/bison-@.tar.xz
bzip2,1.0.8,67e051268d0c475ea773822f7500d0e5,https://www.sourceware.org/pub/bzip2/bzip2-@.tar.gz
coreutils,9.7,6b7285faf7d5eb91592bdd689270d3f1,https://ftp.gnu.org/gnu/coreutils/coreutils-@.tar.xz
dejagnu,1.6.3,68c5208c58236eba447d7d6d1326b821,https://ftp.gnu.org/gnu/dejagnu/dejagnu-@.tar.gz
diffutils,3.12,d1b18b20868fb561f77861cd90b05de4,https://ftp.gnu.org/gnu/diffutils/diffutils-@.tar.xz
e2fsprogs,1.47.3,113d7a7ee0710d2a670a44692a35fd2e,https://downloads.sourceforge.net/project/e2fsprogs/e2fsprogs/v@/e2fsprogs-@.tar.gz
elfutils,0.193,ceefa052ded950a4c523688799193a44,https://sourceware.org/ftp/elfutils/@/elfutils-@.tar.bz2
expat,2.7.1,9f0c266ff4b9720beae0c6bd53ae4469,https://github.com/libexpat/libexpat/releases/download/R_2_7_1/expat-@.tar.xz
expect,5.45.4,00fce8de158422f5ccd2666512329bd2,https://prdownloads.sourceforge.net/expect/expect@.tar.gz
file,5.46,459da2d4b534801e2e2861611d823864,https://astron.com/pub/file/file-@.tar.gz
findutils,4.10.0,870cfd71c07d37ebe56f9f4aaf4ad872,https://ftp.gnu.org/gnu/findutils/findutils-@.tar.xz
flex,2.6.4,2882e3179748cc9f9c23ec593d6adc8d,https://github.com/westes/flex/releases/download/v@/flex-@.tar.gz
gawk,5.3.2,b7014650c5f45e5d4837c31209dc0037,https://ftp.gnu.org/gnu/gawk/gawk-@.tar.xz
gcc,15.2.0,b861b092bf1af683c46a8aa2e689a6fd,https://ftp.gnu.org/gnu/gcc/gcc-@/gcc-@.tar.xz
glibc,2.42,23c6f5a27932b435cae94e087cb8b1f5,https://ftp.gnu.org/gnu/glibc/glibc-@.tar.xz
gmp,6.3.0,956dc04e864001a9c22429f761f2c283,https://ftp.gnu.org/gnu/gmp/gmp-@.tar.xz
gperf,3.3,31753b021ea78a21f154bf9eecb8b079,https://ftp.gnu.org/gnu/gperf/gperf-@.tar.gz
grep,3.12,5d9301ed9d209c4a88c8d3a6fd08b9ac,https://ftp.gnu.org/gnu/grep/grep-@.tar.xz
groff,1.23.0,5e4f40315a22bb8a158748e7d5094c7d,https://ftp.gnu.org/gnu/groff/groff-@.tar.gz
grub,2.12,60c564b1bdc39d8e43b3aab4bc0fb140,https://ftp.gnu.org/gnu/grub/grub-@.tar.xz
gzip,1.14,4bf5a10f287501ee8e8ebe00ef62b2c2,https://ftp.gnu.org/gnu/gzip/gzip-@.tar.xz
iana-etc,20250807,de0a909103d4ff59d1424c5ec7ac9e4a,https://github.com/Mic92/iana-etc/releases/download/@/iana-etc-@.tar.gz
inetutils,2.6,401d7d07682a193960bcdecafd03de94,https://ftp.gnu.org/gnu/inetutils/inetutils-@.tar.xz
intltool,0.51.0,12e517cac2b57a0121cda351570f1e63,https://launchpad.net/intltool/trunk/@/+download/intltool-@.tar.gz
iproute2,6.16.0,80e1f91bf59d572acc15d5c6eb4f3e7c,https://www.kernel.org/pub/linux/utils/net/iproute2/iproute2-@.tar.xz
kbd,2.8.0,24b5d24f7483726b88f214dc6c77aa41,https://www.kernel.org/pub/linux/utils/kbd/kbd-@.tar.xz
kmod,34.2,36f2cc483745e81ede3406fa55e1065a,https://www.kernel.org/pub/linux/utils/kernel/kmod/kmod-@.tar.xz
less,679,0386dc14f6a081a94dfb4c2413864eed,https://www.greenwoodsoftware.com/less/less-@.tar.gz
lfs-bootscripts,20250827,3f661c64c2dfb55025767ed56074d059,https://www.linuxfromscratch.org/lfs/downloads/12.4/lfs-bootscripts-@.tar.xz
libcap,2.76,449ade7d620b5c4eeb15a632fbaa4f74,https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2/libcap-@.tar.xz
libffi,3.5.2,92af9efad4ba398995abf44835c5d9e9,https://github.com/libffi/libffi/releases/download/v@/libffi-@.tar.gz
libpipeline,1.5.8,17ac6969b2015386bcb5d278a08a40b5,https://download.savannah.gnu.org/releases/libpipeline/libpipeline-@.tar.gz
libtool,2.5.4,22e0a29df8af5fdde276ea3a7d351d30,http://ftpmirror.gnu.org/libtool/libtool-@.tar.xz
libxcrypt,4.4.38,1796a5d20098e9dd9e3f576803c83000,https://github.com/besser82/libxcrypt/releases/download/v@/libxcrypt-@.tar.xz
linux,6.16.1,32d45755e4b39d06e9be58f6817445ee,https://www.kernel.org/pub/linux/kernel/v6.x/linux-@.tar.xz
lz4,1.10.0,dead9f5f1966d9ae56e1e32761e4e675,https://github.com/lz4/lz4/releases/download/v@/lz4-@.tar.gz
